slno,address,assetId,assetName,amount
1,addr_test1vz9n04u062h8ngvrp3cqqa0vwl73jvr0k98usn5ttskjfgs70znka,b5b9b76694768dd99362ff2e48d6f42b91cd0af37a9db7fbe7907c32,Agrochain,276
2,addr_test1vq7qqkzl08ckrqs38c6d272anq6xtc4c5nv7uxeynqzsufqpudaxp,9f5b8c9fb2efa75cf3e8b0406213bcdbe27e280fe25e28717b369b7d,BurstZK,411
3,addr_test1vrkhkx3gqg38zlsh4px00wfjlz43v000ekfua8fyfemxj3svm6kq0,08e81885037e4e6a7b3960b551260a4d29ed856bc10857f1bbac3a8f,SpaceCats,357
4,addr_test1vpx2jgf2653jakt9mtnnyatan4r00j9vnqytuqrhc7sd38qq77nlr,f50e49cd95d6b6d9c3f4d760321c8eced1e89f461a495be76849d789,NanoNet,487
5,addr_test1vqs8m08h6thsnss9pd70fvs0nkgfw8f0eq7y3fxrzg0e04scjgkc0,9f5b8c9fb2efa75cf3e8b0406213bcdbe27e280fe25e28717b369b7d,BurstZK,651
6,addr_test1vpfqe9843cld7xmvlqdtcnqj2e5c83v04u5x4zzhpyfw02c2dz3pd,e66b8b16476aaa28d81a56dd75151c44a3aafa0e6b7189cbd6e545d6,QuantumPulse,704
7,addr_test1vp0qe07h8d00kpvvvk33nt6g708sk5h0s55v0f5zhegryugnjzkkf,08e81885037e4e6a7b3960b551260a4d29ed856bc10857f1bbac3a8f,SpaceCats,369
8,addr_test1vr2t7y2lluhfgvhkkk9ennxgjzmhvzdtll4dje0mxe74j7sh9lkx2,9f5b8c9fb2efa75cf3e8b0406213bcdbe27e280fe25e28717b369b7d,BurstZK,951
9,addr_test1vrl4uvu2s0eu2gpnaaa3qkc37h56zxcgqhkxmlksz7z2vfqksu36u,19bb9f9b1f89d54ea8f6274af15e2bfbf2730362d711cb26c8a92eb7,tClay,338
10,addr_test1vpsu7x4g03pktku4grwmjjussk53zu50jpf27xpnavfkrnqyapdj5,08e81885037e4e6a7b3960b551260a4d29ed856bc10857f1bbac3a8f,SpaceCats,466
11,addr_test1vq67ljw8fkgz0pvq8xzhl6rsql9eefu399egm8pkdlw37eshxjnvq,19bb9f9b1f89d54ea8f6274af15e2bfbf2730362d711cb26c8a92eb7,tClay,610
12,addr_test1vpnxnullpu3w2rkagvcgxcgqkwr7h9t6gc2v87gkgg6vqws7p9ff0,9f5b8c9fb2efa75cf3e8b0406213bcdbe27e280fe25e28717b369b7d,BurstZK,541
13,addr_test1vzut2epl3qvcc2jc30nrahdrqx0w6pfmytcfxw4pfs34p4q79pqdz,b2ae7d28fcc067c62342b4ea4073987c0e13159cf10e73ed762d5f69,JungleApes,554
14,addr_test1vzukrmdw4747tg2vsct25mvxzgx8yqx9srfkd3m4raf27kq8kg8a6,f50e49cd95d6b6d9c3f4d760321c8eced1e89f461a495be76849d789,NanoNet,507
15,addr_test1vzcx25n2hsl35z5s4hnzuznq0ra2hvetyqxztajd3du87nsf4k96j,e02aa67d70e1be127a528b09e38b73882d824766df74a7dc126cece2,StellarWars,188
16,addr_test1vrhgknvhapwumj28xy9j8jt3x52hkc8hwcts0enk98gzmmcf0edm3,e02aa67d70e1be127a528b09e38b73882d824766df74a7dc126cece2,StellarWars,477
17,addr_test1vpt35wey6jujeff2z33ae425urafw2er4ml0aly3s7vtw9c2wr97j,b2ae7d28fcc067c62342b4ea4073987c0e13159cf10e73ed762d5f69,JungleApes,892
18,addr_test1vzddu43ektrndn43evq8wpycw80qnhel2llft8a7xayxydgpe9s60,19bb9f9b1f89d54ea8f6274af15e2bfbf2730362d711cb26c8a92eb7,tClay,357
19,addr_test1vrc4wq2624grq8yzfr5rpqc4va0vfjw5p8ayfath6c9elhqhwek7x,b5b9b76694768dd99362ff2e48d6f42b91cd0af37a9db7fbe7907c32,Agrochain,438
20,addr_test1vql9l9ugv7eee4hm4pjtwdd8497nyd0tmeyjqdp8ndhex4qvcllag,b2ae7d28fcc067c62342b4ea4073987c0e13159cf10e73ed762d5f69,JungleApes,270
21,addr_test1vr5uw47ltu96jaxf9wsz76a0qhrgv37m8m9rhm6gas63j8qquu46p,19bb9f9b1f89d54ea8f6274af15e2bfbf2730362d711cb26c8a92eb7,tClay,557
22,addr_test1vrglwcqv7fmmtssrdltwceuy9k0awtn0nv5m8lfazaec07cvmealv,f50e49cd95d6b6d9c3f4d760321c8eced1e89f461a495be76849d789,NanoNet,498
23,addr_test1vqh9wnxf0y7ghx9cprawxmyzwvya334yn3ghzxtlp2rkx9sjrck8y,9f5b8c9fb2efa75cf3e8b0406213bcdbe27e280fe25e28717b369b7d,BurstZK,301
24,addr_test1vp6dqggjjdjx8rdwqh9gfxc5ddugqe7n678mnn3ygxnzc6sqpyku7,b5b9b76694768dd99362ff2e48d6f42b91cd0af37a9db7fbe7907c32,Agrochain,554
25,addr_test1vpukrzagzevqksc45pkhuxlhp5q2tfsux0sj9qjrh6uxffq9wwylw,a0922a11cc9dde96fe7285f6856e23616e8c12da674ecda5a0b7cada,NuTron,900
26,addr_test1vq3jawgns2nm84shxvnvucjk2lfkhgrtxkwm02msrd4f0rg3c4w07,a0922a11cc9dde96fe7285f6856e23616e8c12da674ecda5a0b7cada,NuTron,742
27,addr_test1vqr0w8nxsmhyes8pe8230w3zvp7y6alve5khvltj9jf0fxcy5wx9d,19bb9f9b1f89d54ea8f6274af15e2bfbf2730362d711cb26c8a92eb7,tClay,530
28,addr_test1vqdgftm5m79jgf4m59jp5z7sd97gy6p4f33alqw03zc0z4cthq0jy,08e81885037e4e6a7b3960b551260a4d29ed856bc10857f1bbac3a8f,SpaceCats,174
29,addr_test1vrgpzerlt3rlj8mza7zaeezkj5cvl37urfz6jf5ugcmjsrqtqfft8,b2ae7d28fcc067c62342b4ea4073987c0e13159cf10e73ed762d5f69,JungleApes,851
30,addr_test1vp0fhckkckhch6e5uf7s4rqlfalelag6dryxr08lv6u5dlsdc46cu,19bb9f9b1f89d54ea8f6274af15e2bfbf2730362d711cb26c8a92eb7,tClay,887
31,addr_test1vqxcrca4h6n0u5h236t7wjcmwpnxfz68e06zwewsvtw7fesmpdd3j,b5b9b76694768dd99362ff2e48d6f42b91cd0af37a9db7fbe7907c32,Agrochain,381
32,addr_test1vp25stkspcwz2lj5s3avmdtr6gkqj2736unyuq2lcfaye2gyxmgtq,e66b8b16476aaa28d81a56dd75151c44a3aafa0e6b7189cbd6e545d6,QuantumPulse,303
33,addr_test1vq2ae03hmfffj886egqppsue36kp8jfwhrn6y2glej4p26g0ydm9c,19bb9f9b1f89d54ea8f6274af15e2bfbf2730362d711cb26c8a92eb7,tClay,337
34,addr_test1vzzqsl76vlvcxnvejacc25yuwe364f49t4js7ze8h8cau8c6tycjs,08e81885037e4e6a7b3960b551260a4d29ed856bc10857f1bbac3a8f,SpaceCats,536
35,addr_test1vqvj7eafdjp6gkzs4qk5q3rmm9x9f44eau78ndc497a9scgsagken,19bb9f9b1f89d54ea8f6274af15e2bfbf2730362d711cb26c8a92eb7,tClay,346
36,addr_test1vpgx74m6ksr8xmdhfj5elc2rajn44qts79hfjkacnp3h5xq8uz64t,b5b9b76694768dd99362ff2e48d6f42b91cd0af37a9db7fbe7907c32,Agrochain,847
37,addr_test1vp8sqc28ztvkk4t8mj5t578n25cq0ya0fwlhshmq63hs6yc2y7lz9,b2ae7d28fcc067c62342b4ea4073987c0e13159cf10e73ed762d5f69,JungleApes,649
38,addr_test1vq9am3m7hh5rgpu0upq0mckv45dfplsgl48pw89ps7qxlzqgqan4d,f50e49cd95d6b6d9c3f4d760321c8eced1e89f461a495be76849d789,NanoNet,775
39,addr_test1vrkfytr294ydgx5ymsplw4n74tc3mqeasdlqvcl8wq5dzfq3n07e7,b5b9b76694768dd99362ff2e48d6f42b91cd0af37a9db7fbe7907c32,Agrochain,115
40,addr_test1vphn0gvnaac8adryrft2fcllrjwsxhz74ydkv7f5vmgecdsgsg90k,19bb9f9b1f89d54ea8f6274af15e2bfbf2730362d711cb26c8a92eb7,tClay,873
41,addr_test1vp2jsa88z56q9zpys3y9hf80rzqtlz0vgju8cnpx7drx4nqs4yr99,19bb9f9b1f89d54ea8f6274af15e2bfbf2730362d711cb26c8a92eb7,tClay,137
42,addr_test1vr3y8kcjad4h5uqr0f9ast6l4udy88svkvycrg6a8uq6s8qcwyl67,08e81885037e4e6a7b3960b551260a4d29ed856bc10857f1bbac3a8f,SpaceCats,818
43,addr_test1vq5cvnkqpjyhnkxhu29upzf6m0qr40qvsq6u9mzjs6fvnpq5r9006,a0922a11cc9dde96fe7285f6856e23616e8c12da674ecda5a0b7cada,NuTron,766
44,addr_test1vz85zrtu4z9rqz3eepeqwqa54qkya674r0xx40wjpskcn2spetc93,e66b8b16476aaa28d81a56dd75151c44a3aafa0e6b7189cbd6e545d6,QuantumPulse,945
45,addr_test1vp4r6hkqmccsm8swssxwrg5lrkky5yg4nwsr6w2mjt50muq980akw,b2ae7d28fcc067c62342b4ea4073987c0e13159cf10e73ed762d5f69,JungleApes,230
46,addr_test1vr7ukucr44yykxa22fet3c4hk9qpusez3w279fhtj974h6satq22s,84e2b7e0ec32f81091c30f7a38b32c595f79ba8b54f0f98e2658873e,TitanCoin,102
47,addr_test1vzpn382dz8skzz3wveh8srvgvf5mec0sdxszsnkdmgx784sra73sf,a0922a11cc9dde96fe7285f6856e23616e8c12da674ecda5a0b7cada,NuTron,128
48,addr_test1vr3p5hde5srku52zt9t0qxund00q3kcsmap62272l3lhfvsq5nuey,08e81885037e4e6a7b3960b551260a4d29ed856bc10857f1bbac3a8f,SpaceCats,551
49,addr_test1vrtjk9v8f6nuy0le2cdfse4w3ac5yh062r8aaxqv34yerxsjl54cj,e02aa67d70e1be127a528b09e38b73882d824766df74a7dc126cece2,StellarWars,466
50,addr_test1vr2al0xgkm02asug8zrh0tar52kjysq02k2jnfdrkc9yt4qag4hhw,19bb9f9b1f89d54ea8f6274af15e2bfbf2730362d711cb26c8a92eb7,tClay,205
51,addr_test1vrxdgewkw5u93j0rf852pqvsrhdk49gtc7k3p9z753q34lqu25t7p,a0922a11cc9dde96fe7285f6856e23616e8c12da674ecda5a0b7cada,NuTron,926
