slno,address,assetId,assetName,amount
1,addr_test1vz9n04u062h8ngvrp3cqqa0vwl73jvr0k98usn5ttskjfgs70znka,19bb9f9b1f89d54ea8f6274af15e2bfbf2730362d711cb26c8a92eb7,tClay,444
2,addr_test1vq7qqkzl08ckrqs38c6d272anq6xtc4c5nv7uxeynqzsufqpudaxp,a0922a11cc9dde96fe7285f6856e23616e8c12da674ecda5a0b7cada,Agrochain,327
3,addr_test1vrkhkx3gqg38zlsh4px00wfjlz43v000ekfua8fyfemxj3svm6kq0,e02aa67d70e1be127a528b09e38b73882d824766df74a7dc126cece2,StellarWars,304
4,addr_test1vpx2jgf2653jakt9mtnnyatan4r00j9vnqytuqrhc7sd38qq77nlr,08e81885037e4e6a7b3960b551260a4d29ed856bc10857f1bbac3a8f,TitanCoin,219
5,addr_test1vqs8m08h6thsnss9pd70fvs0nkgfw8f0eq7y3fxrzg0e04scjgkc0,f50e49cd95d6b6d9c3f4d760321c8eced1e89f461a495be76849d789,SpaceCats,146
6,addr_test1vpfqe9843cld7xmvlqdtcnqj2e5c83v04u5x4zzhpyfw02c2dz3pd,9f5b8c9fb2efa75cf3e8b0406213bcdbe27e280fe25e28717b369b7d,QuantumPulse,186
7,addr_test1vp0qe07h8d00kpvvvk33nt6g708sk5h0s55v0f5zhegryugnjzkkf,b2ae7d28fcc067c62342b4ea4073987c0e13159cf10e73ed762d5f69,NuTron,196
8,addr_test1vr2t7y2lluhfgvhkkk9ennxgjzmhvzdtll4dje0mxe74j7sh9lkx2,9f5b8c9fb2efa75cf3e8b0406213bcdbe27e280fe25e28717b369b7d,QuantumPulse,293
9,addr_test1vrl4uvu2s0eu2gpnaaa3qkc37h56zxcgqhkxmlksz7z2vfqksu36u,9f5b8c9fb2efa75cf3e8b0406213bcdbe27e280fe25e28717b369b7d,QuantumPulse,224
10,addr_test1vpsu7x4g03pktku4grwmjjussk53zu50jpf27xpnavfkrnqyapdj5,9f5b8c9fb2efa75cf3e8b0406213bcdbe27e280fe25e28717b369b7d,QuantumPulse,243
11,addr_test1vq67ljw8fkgz0pvq8xzhl6rsql9eefu399egm8pkdlw37eshxjnvq,b2ae7d28fcc067c62342b4ea4073987c0e13159cf10e73ed762d5f69,NuTron,423
